predictions	labels
7.801879317	1
4.83309351	1
4.356528426	1
2.240879228	0
2.17202304	1
1.949631655	1
1.600460333	0
1.577389503	0
1.426715646	0
0.842055307	0
0.747986296	0
0.620223281	1
0.608135852	0
0.591233257	0
0.574813293	1
0.553361729	0
0.515215121	0
0.416422723	0
0.388461926	1
0.378291395	0
0.35677009	1
-0.000161575	0
-0.037951227	0
-0.160247054	0
-0.6385852	0
