gene	Nor-P1	HPAF-II	CaPan-2	BxPC-3	Panc02.03	Panc05.04	SU86.86	Panc03.27	PL45	Panc03.3	Panc06.03	CFPAC	Panc010.05	Colo0357	L3.60pl	Panc02.13	Panc08.13	HS766t	Panc-1	ASPC-1	Mpanc-96	MiaPaCa-2
COL18A1	3.737037715	3.129709067	4.045455918	4.052325194	8.078569153	4.612039625	8.196388278	6.977762176	3.930844393	6.125153864	5.143242007	5.03339942	5.322786901	7.190671219	6.018387542	8.659960097	9.189371502	7.521559913	11.09729876	4.741209371	6.27205946	10.31886088
DKK3	5.159760962	4.411270646	5.476571594	0.781009439	7.354803885	8.929724993	10.9928025	5.793398235	2.812358025	7.304694532	6.21992952	7.489205562	5.121160727	5.38008068	8.007238058	9.153889276	9.059960875	11.22062749	9.520171727	5.149586919	1.024646322	1.098764533
VCAN	2.604098858	7.501272295	5.319926741	5.199615714	6.809911768	6.004836974	5.987743077	6.861863014	3.156515591	4.514019046	8.465810726	8.41180882	5.819172218	6.138510025	2.579887728	6.698432871	11.19001427	6.711273279	5.867025986	12.2886068	12.49340901	6.657538764
CDA	2.591139719	10.58727146	9.859948536	9.695338219	9.586005528	11.12155028	10.18608832	8.771627691	9.309539985	3.715086526	7.941093876	6.919025741	10.47979869	3.875092692	4.728304603	6.371960161	2.952233238	7.043468683	4.809511751	10.67510813	11.02069817	7.127744699
UGCG	9.696415436	11.35691908	12.9752591	13.63053994	15.25540978	11.74829979	11.52431133	14.31173535	13.97368987	12.23967572	12.9181031	13.56587878	14.37335051	12.12374758	11.74637756	13.70586996	12.99828523	12.19180099	12.31002713	11.98618152	11.9870728	10.6536483
AQP3	4.696451866	9.601789146	7.550990825	10.53053531	6.103490201	4.724772016	7.20165104	5.747195923	5.904327896	9.669832249	8.831290157	9.312722807	7.845226072	9.85214588	11.25903485	11.09806777	6.807606614	9.060788278	3.466524974	6.915764561	6.965985357	4.545616696
PLAGL1	6.038154276	0.132479011	9.047490619	8.048578666	6.769605126	9.987127114	7.594162112	5.374606954	2.507372336	10.6325652	6.245814871	8.51044448	1.836340046	9.338636182	10.58287762	10.23587481	11.36313258	9.490219123	7.13367012	5.278665151	2.163405853	4.25205456
CDH1	9.699708356	9.24356852	9.099307314	9.092023635	8.435134197	7.653496201	9.096103116	8.179924564	8.015671887	8.246559744	8.116957677	8.198433091	8.044199563	3.578955786	7.341574944	8.790936037	1.838568235	5.460911079	1.881779689	7.87396686	8.467317717	4.244316687
NR2F2	7.659697153	7.450496121	8.662984655	9.013411829	8.922096522	8.657503782	8.062740839	8.877527541	9.293734732	8.099668605	9.094792052	8.221755236	8.575008571	8.104130026	7.568123828	6.462467183	8.287706055	8.433522578	8.989799425	7.719069828	7.66936016	9.180598678
GALNT3	10.7404171	12.95678745	13.07201708	12.19257161	12.40868003	13.83658859	13.60098222	12.45457601	12.75966776	11.78340827	12.95335375	12.79985764	11.93800803	11.06689873	11.87982565	12.92080067	2.708159858	3.720973364	0.559566295	1.837156535	2.385756752	2.335348069
ZNF22	5.624342746	6.755263331	11.25285025	10.56909537	9.273264668	10.86412382	10.70108725	9.934612398	10.41160093	11.38042067	10.58933732	10.38695031	10.3992128	10.33824497	10.46811368	11.04994428	10.51100194	10.11876874	10.42111241	9.75429115	9.468341253	11.20492453
AHNAK2	4.234657134	7.647027769	5.631075909	7.89927821	7.708669621	7.135842865	4.086345122	4.507731139	6.729446639	5.908877434	8.999077708	7.360085137	6.027235194	7.901604087	5.699403242	7.381162425	3.093521535	8.050382882	8.663795797	7.727721086	8.35183491	7.605331364
CCN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINE1	5.676939717	3.825680064	6.012546665	5.431850008	5.482688477	8.635499783	6.550264747	6.026914366	7.593461087	3.304547552	7.405629084	6.694184163	7.260715981	3.770463105	1.854994562	2.443423695	6.48358569	7.91184698	10.26661709	2.397500905	6.382102992	5.80060822
KLF5	10.24524094	12.60676977	13.0872367	12.73123958	11.49644417	11.7140072	11.46710406	11.64507678	9.178984261	12.98757207	11.65525008	12.31976732	9.490697539	12.03144012	12.85529138	12.8267428	7.621670556	12.639914	6.491464908	11.78645401	11.87220603	6.430162911
KRT19	14.12880138	14.60255658	13.90410039	14.7240431	14.63825797	14.38977698	13.7298856	14.48428859	14.89328737	13.97849114	15.15125003	14.92903818	14.60066182	14.05393889	14.86931376	14.51688664	8.231781173	14.17299519	12.51634992	15.14510328	15.03917402	11.46191107
ADIRF	7.365054862	11.20866855	2.678228214	11.21283707	11.86169483	7.588043361	9.498799176	3.673021032	9.569830104	12.67904434	11.73132013	12.37006448	3.856996233	12.34366903	11.85712265	13.5294046	5.685050707	14.05470377	7.075863566	8.553912588	9.357799775	14.07005794
TNFRSF21	8.722097316	11.9814145	10.9829717	12.50830703	12.2052808	12.66224718	11.67358753	12.38178078	9.932019767	8.634127384	12.32720766	12.72154509	10.96689312	9.828313377	11.17331465	12.10587602	11.1384408	11.04872005	6.986417311	11.93268447	11.53802188	4.811763186
SNAI2	9.048535766	10.3150159	7.046051764	12.7599507	9.732964366	12.49831838	8.38507703	10.95868697	8.178914395	12.9682494	6.6195638	9.583475118	9.685960317	11.38540972	11.39681913	11.03154402	6.961138879	13.21688868	5.929361655	11.58337497	11.56980708	5.62202352
ADAMTS1	8.25176698	1.739095266	2.072135131	11.28692394	3.414371504	5.329759072	7.871015118	1.871852689	3.736017834	9.453554062	3.523084507	4.425751812	3.063288129	9.009611774	9.689406386	7.388054665	3.564552614	12.02092093	2.309601231	3.362805949	2.874622793	2.473844309
NNMT	2.451412346	1.911321677	6.535941809	3.872844151	6.225655151	6.172230056	5.421914462	3.713773878	2.19597306	5.021253649	3.972498785	3.610477194	5.023474205	6.817063044	3.616760226	3.762807028	7.656690106	6.679086386	2.324358442	3.330734157	2.727532208	3.824628477
MEST	7.450556941	11.67866144	13.08003978	12.12644221	12.00335965	12.15410244	12.44749515	10.56447262	11.93836997	14.43246322	11.21307664	13.01883984	12.46048943	12.35582461	10.64956365	13.41413455	14.82531979	8.995541263	11.78069711	11.51062176	10.60468887	9.650824924
TSPAN13	10.93450659	13.1275617	13.57358701	12.86495854	10.89528307	14.43076665	14.48400199	13.04985473	11.68114932	13.18433991	13.37054854	13.36661056	11.37796639	11.35197789	13.56381954	13.52306406	8.900435756	11.41703435	13.53970426	12.40574466	13.63047042	9.196571414
CTSH	12.46781263	11.30793333	13.12406526	13.3838301	11.49152208	13.67215974	12.4420594	10.36529973	12.98152324	9.528429879	11.64680904	11.65860726	8.364888502	7.899642617	11.3018619	11.76421536	8.582228007	12.68387537	10.27381734	11.11779347	12.40961077	11.38126042
SLC27A2	8.734490613	10.10337675	9.243308505	7.689098037	8.489458567	9.288243096	10.4173529	8.463009429	10.23503257	9.207176535	6.105475957	8.34146665	8.488025392	10.19505202	10.53075441	9.140183558	7.582526176	5.144059923	2.431416634	6.029249003	4.928462174	4.495536887
RHOBTB3	5.182370442	13.29671707	8.030148322	12.31701382	11.74261973	12.8407624	12.146746	12.17908688	14.57236132	11.51260556	13.03667346	13.01611467	13.60192153	11.74234267	9.877478128	11.02655906	13.14866451	9.646533548	13.00996645	11.95115835	11.35734652	6.029154566
